 name,group,price,country,region,url,тип предложения,марка,модель,регистрация,состояние,автор объявления,год выпуска,руль,количество мест,тип кузова,количество дверей,пробег,об. двигателя (см³),мощность (л.с.),тип топлива,кпп,привод,цвет,
 TopAuto ,  Легковые автомобили  , 8 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/81393848,продам,dacia,lodgy,республика молдова,с пробегом,автодилер,2017,левый,7,минивэн,4,241 000   км,1 500   см³,110,дизель,механическая,передний,серый,
 Major01 ,  Легковые автомобили  , 3 800 ,Молдова,  Кишинёв мун.,https://999.md/ru/81340839,продам,dacia,logan mcv,республика молдова,с пробегом,частное лицо,2010,левый,5,универсал,5,243 000   км,1 500   см³,85,дизель,механическая,передний,синий,
 Major01 ,  Легковые автомобили  , 5 800 ,Молдова,  Кишинёв мун.,https://999.md/ru/81597390,продам,toyota,camry,республика молдова,с пробегом,частное лицо,2007,левый,5,седан,5,161 000   км,2 400   см³,170,газ / бензин (пропан),автоматическая,передний,черный,
 wkwntgrgz5 ,  Легковые автомобили  , 2 700 ,Молдова,  Кишинёв мун.,https://999.md/ru/81605123,продам,bmw,5 series,республика молдова,с пробегом,частное лицо,1996,левый,5,седан,,280 000   км,1 999   см³,,бензин,механическая,задний,,
 TopAuto ,  Легковые автомобили  , 6 750 ,Молдова,  Кишинёв мун.,https://999.md/ru/79256347,продам,dacia,dokker,республика молдова,с пробегом,автодилер,2013,левый,5,минивэн,4,185 000   км,1 500   см³,90,дизель,механическая,передний,белый,
 TopAuto ,  Легковые автомобили  , 5 350 ,Молдова,  Кишинёв мун.,https://999.md/ru/78970885,продам,dacia,logan,республика молдова,с пробегом,автодилер,2013,левый,5,седан,4,303 000   км,1 500   см³,,дизель,механическая,передний,бежевый,
 TopAuto ,  Легковые автомобили  , 8 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/81393848,продам,dacia,lodgy,республика молдова,с пробегом,автодилер,2017,левый,7,минивэн,4,241 000   км,1 500   см³,110,дизель,механическая,передний,серый,
 interauto-albisoara27 ,  Легковые автомобили  , 13 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/81462556,продам,skoda,octavia,республика молдова,с пробегом,автодилер,2018,левый,5,универсал,5,172 000   км,1 600   см³,116,дизель,автоматическая,передний,черный,
 TopAuto ,  Легковые автомобили  , 41 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/81394293,продам,mercedes,e-class coupe,республика молдова,с пробегом,автодилер,2018,левый,5,купе,2,54 000   км,2 000   см³,,бензин,автоматическая,задний,белый,
 TopAuto ,  Легковые автомобили  , 33 750 ,Молдова,  Кишинёв мун.,https://999.md/ru/80228991,продам,volvo,xc90,республика молдова,с пробегом,автодилер,2017,левый,5,внедорожник,4,220 000   км,2 000   см³,235,дизель,автоматическая,4х4,серебряный,
 TopAuto ,  Легковые автомобили  , 2 850 ,Молдова,  Кишинёв мун.,https://999.md/ru/79699490,продам,hyundai,matrix,республика молдова,с пробегом,автодилер,2004,левый,5,хетчбэк,4,360 000   км,1 500   см³,,дизель,механическая,передний,зелёный,
 antonel53 ,  Легковые автомобили  , 6 500 ,Молдова,  Кишинёв мун.,https://999.md/ru/81605121,продам,toyota,auris,республика молдова,с пробегом,частное лицо,2007,левый,5,хетчбэк,5,183 000   км,1 400   см³,,дизель,роботизированная,передний,черный,
 ROST1 ,  Легковые автомобили  , 104 900 ,Молдова,  Кишинёв мун.,https://999.md/ru/77696894,продам,porsche,другое,республика молдова,с пробегом,автодилер,2020,левый,5,кроссовер,5,16 000   км,0   см³,,электричество,автоматическая,4х4,голубой,
 vdbmw ,  Легковые автомобили  , 4 200 ,Молдова,  Кишинёв мун.,https://999.md/ru/81224252,продам,bmw,5 series,другое,с пробегом,частное лицо,2006,левый,4,седан,5,370   км,2 500   см³,177,дизель,автоматическая,задний,серый,
 interauto ,  Легковые автомобили  , 52 900 ,Молдова,  Кишинёв мун.,https://999.md/ru/81488878,продам,toyota,land cruiser,республика молдова,с пробегом,автодилер,2013,левый,7,кроссовер,5,117 898   км,4 500   см³,272,дизель,автоматическая,4х4,черный,
 veaceslav79 ,  Легковые автомобили  , 15 900 ,Молдова,  Кишинёв мун.,https://999.md/ru/81547936,продам,mercedes,c класс,республика молдова,с пробегом,частное лицо,2017,левый,5,универсал,,229 000   км,1 800   см³,160,бензин,автоматическая,задний,серебряный,
 danutu2011 ,  Легковые автомобили  , 5 200 ,Молдова,  Калараш,https://999.md/ru/80987390,продам,mitsubishi,colt,республика молдова,с пробегом,частное лицо,2013,левый,5,хетчбэк,5,179 000   mi,1 400   см³,90,бензин,механическая,передний,белый,
 interauto-albisoara27 ,  Легковые автомобили  , 28 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/81367708,продам,volvo,xc60,республика молдова,с пробегом,автодилер,2018,левый,5,кроссовер,5,184 178   км,2 000   см³,190,дизель,автоматическая,4х4,черный,
 manopera777 ,  Легковые автомобили  , 13 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/81573163,продам,ford,focus,республика молдова,с пробегом,частное лицо,2019,левый,5,универсал,,116 147   км,1 500   см³,120,дизель,механическая,передний,,
 manopera777 ,  Легковые автомобили  , 15 000 ,Молдова,  Кишинёв мун.,https://999.md/ru/81424167,продам,bmw,5 series,республика молдова,с пробегом,частное лицо,2012,левый,5,седан,,151   км,2 000   см³,245,бензин,механическая,задний,,
 Perhaps ,  Легковые автомобили  , 11 500 ,Молдова,  Бельцы мун.,https://999.md/ru/80068761,продам,audi,a8,республика молдова,с пробегом,частное лицо,2005,левый,5,седан,,257 560   км,3 000   см³,233,дизель,автоматическая,4х4,серый,
 InterPiataAuto ,  Легковые автомобили  , 19 499 ,Молдова,  Кишинёв мун.,https://999.md/ru/74567528,продам,hyundai,tucson,республика молдова,с пробегом,автодилер,2016,левый,5,кроссовер,5,62 028   км,1 600   см³,167,бензин,автоматическая,4х4,бежевый,
 interauto-albisoara27 ,  Легковые автомобили  , 11 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/81112451,продам,volkswagen,jetta,республика молдова,с пробегом,автодилер,2013,левый,5,седан,4,232 246   км,1 400   см³,170,гибрид,автоматическая,передний,черный,
 ursullys ,  Легковые автомобили  , 18 000 ,Молдова,  Кишинёв мун.,https://999.md/ru/81605106,продам,bmw,5 series,республика молдова,с пробегом,частное лицо,2013,левый,5,седан,5,242 000   км,2 000   см³,218,дизель,автоматическая,задний,черный,
 gotisand ,  Легковые автомобили  , 2 450 ,Молдова,  Кишинёв мун.,https://999.md/ru/81567401,продам,honda,civic,республика молдова,с пробегом,частное лицо,1995,левый,4,хетчбэк,3,400 000   км,1 500   см³,115,бензин,механическая,передний,синий,
 wfvdsvtr ,  Легковые автомобили  , 2 100 ,Молдова,  Кагул,https://999.md/ru/81605105,продам,nissan,primera,республика молдова,с пробегом,частное лицо,1998,левый,4,седан,4,271 758   км,2 000   см³,130,бензин,механическая,передний,серебряный,
 TopAuto ,  Легковые автомобили  , 5 450 ,Молдова,  Кишинёв мун.,https://999.md/ru/75039157,продам,bmw,1 series,республика молдова,с пробегом,автодилер,2006,левый,5,хетчбэк,4,217 000   км,1 600   см³,,бензин,механическая,задний,серебряный,
 InterPiataAuto ,  Легковые автомобили  , 11 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/78393796,продам,renault,scenic,республика молдова,с пробегом,автодилер,2016,левый,5,универсал,5,172 298   км,1 500   см³,110,дизель,механическая,передний,синий,
 SudAuto ,  Легковые автомобили  , 7 499 ,Молдова,  Кишинёв мун.,https://999.md/ru/81530898,продам,renault,megane,республика молдова,с пробегом,автодилер,2012,левый,5,универсал,4,170 210   км,1 500   см³,110,дизель,автоматическая,передний,серебряный,
 Troia123 ,  Легковые автомобили  , 8 888 ,Молдова,  Кишинёв мун.,https://999.md/ru/81588623,продам,renault,megane,республика молдова,с пробегом,частное лицо,2015,левый,5,универсал,5,81 200   км,1 500   см³,110,дизель,автоматическая,передний,черный,
 SudAuto ,  Легковые автомобили  , 2 650 ,Молдова,  Кишинёв мун.,https://999.md/ru/81530864,продам,citroen,xsara,республика молдова,с пробегом,автодилер,1999,левый,5,хетчбэк,4,185 674   км,1 800   см³,,бензин,автоматическая,передний,зелёный,
 interauto ,  Легковые автомобили  , 19 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/79089694,продам,skoda,karoq,республика молдова,с пробегом,автодилер,2018,левый,5,кроссовер,5,163 081   км,1 600   см³,116,дизель,автоматическая,передний,черный,
 2015V ,  Легковые автомобили  , 1 700 ,Молдова,  Кишинёв мун.,https://999.md/ru/81310414,продам,dacia,logan,республика молдова,с пробегом,частное лицо,2013,левый,5,седан,4,600 000   км,12   см³,100,газ / бензин (метан),механическая,передний,белый,
 interauto ,  Легковые автомобили  , 14 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/81416841,продам,mercedes,glk класс,республика молдова,с пробегом,автодилер,2011,левый,5,кроссовер,5,301 940   км,2 200   см³,170,дизель,автоматическая,4х4,серый,
 079760010 ,  Легковые автомобили  , 25 499 ,Молдова,  Кишинёв мун.,https://999.md/ru/81520043,продам,lexus,ux,республика молдова,с пробегом,частное лицо,2019,левый,5,кроссовер,5,80 000   км,2 000   см³,150,гибрид,автоматическая,передний,серый,
 interauto ,  Легковые автомобили  , 14 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/81124270,продам,bmw,3 series,республика молдова,с пробегом,автодилер,2013,левый,5,универсал,4,211 483   км,2 000   см³,184,дизель,механическая,задний,коричневый,
 LiderPark ,  Легковые автомобили  , 22 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/80082723,продам,bmw,5 series,республика молдова,с пробегом,автодилер,2014,левый,5,седан,5,195 777   км,1 999   см³,218,дизель,автоматическая,задний,синий,
 interauto ,  Легковые автомобили  , 41 900 ,Молдова,  Кишинёв мун.,https://999.md/ru/79586642,продам,skoda,superb,республика молдова,с пробегом,автодилер,2020,левый,5,седан,4,16 130   км,1 968   см³,190,дизель,автоматическая,4х4,белый,
 Cri92 ,  Легковые автомобили  , 21 200 ,Молдова,  Кишинёв мун.,https://999.md/ru/79643281,продам,volkswagen,tiguan,республика молдова,с пробегом,частное лицо,2020,левый,5,внедорожник,5,37 000   км,1 999   см³,197,бензин,автоматическая,4х4,синий,
 FreshAuto1 ,  Легковые автомобили  , 4 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/81198190,продам,toyota,yaris,республика молдова,с пробегом,автодилер,2009,левый,5,хетчбэк,,261 700   км,1 400   см³,,дизель,механическая,передний,,
 VanzariAuto-Pruncul ,  Легковые автомобили  , 6 899 ,Молдова,  Кишинёв мун.,https://999.md/ru/81396458,продам,skoda,fabia,республика молдова,с пробегом,автодилер,2015,левый,5,хетчбэк,5,140 735   км,1 200   см³,90,бензин,механическая,передний,белый,
 gutiumv86 ,  Легковые автомобили  , 17 900 ,Молдова,  Кишинёв мун.,https://999.md/ru/81052136,продам,ford,fusion,республика молдова,с пробегом,частное лицо,2019,левый,5,седан,4,102 000   км,1 998   см³,188,гибрид,автоматическая,передний,голубой,
 interauto5 ,  Легковые автомобили  , 45 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/76153329,продам,mercedes,gle,республика молдова,с пробегом,автодилер,2017,левый,5,кроссовер,5,113 595   км,2 200   см³,204,дизель,автоматическая,4х4,черный,
 interauto ,  Легковые автомобили  , 37 499 ,Молдова,  Кишинёв мун.,https://999.md/ru/81241402,продам,audi,q5,республика молдова,с пробегом,автодилер,2018,левый,5,кроссовер,5,124 073   км,2 000   см³,252,бензин,автоматическая,4х4,черный,
 autobune2023 ,  Легковые автомобили  , 14 900 ,Молдова,  Кишинёв мун.,https://999.md/ru/80754912,продам,ford,fusion,республика молдова,новый,частное лицо,2017,левый,5,седан,4,71 111   км,1 999   см³,196,плагин-гибрид,вариатор,передний,серебряный,
 interauto5 ,  Легковые автомобили  , 39 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/60615973,продам,mercedes,gl класс,республика молдова,с пробегом,автодилер,2013,левый,5,внедорожник,5,97 760   км,3 000   см³,245,дизель,автоматическая,4х4,серый,
 sef123 ,  Легковые автомобили  , 25 000 ,Молдова,  Кишинёв мун.,https://999.md/ru/77696731,куплю,land rover,discovery,республика молдова,,,,,5,,,,,,,,,,
 cadmio ,  Легковые автомобили  , 8 700 ,Молдова,  Кишинёв мун.,https://999.md/ru/81172577,продам,skoda,octavia,республика молдова,с пробегом,частное лицо,2009,левый,5,универсал,5,160 000   км,1 800   см³,160,бензин,механическая,4х4,черный,
 interauto ,  Легковые автомобили  , 3 699 ,Молдова,  Кишинёв мун.,https://999.md/ru/81010750,продам,renault,megane,республика молдова,с пробегом,автодилер,2006,левый,5,универсал,4,251 787   км,1 500   см³,106,дизель,механическая,передний,синий,
 botnatrans ,  Легковые автомобили  , 14 750 ,Молдова,  Кишинёв мун.,https://999.md/ru/81402960,продам,toyota,auris,республика молдова,с пробегом,частное лицо,2017,левый,5,универсал,5,170 000   км,1 800   см³,,гибрид,автоматическая,передний,белый,
 botnatrans ,  Легковые автомобили  , 11 750 ,Молдова,  Кишинёв мун.,https://999.md/ru/80037097,продам,ford,ecosport,республика молдова,с пробегом,частное лицо,2015,левый,5,кроссовер,5,114 000   км,1 500   см³,,дизель,механическая,передний,черный,
 botnatrans ,  Легковые автомобили  , 7 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/81595489,продам,renault,grand scenic,республика молдова,с пробегом,частное лицо,2013,левый,7,минивэн,4,180 000   км,1 500   см³,110,дизель,механическая,передний,черный,
 interauto-9 ,  Легковые автомобили  , 18 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/77107539,продам,mazda,cx-5,республика молдова,с пробегом,автодилер,2014,левый,5,кроссовер,5,141 000   км,2 200   см³,150,дизель,автоматическая,4х4,серый,
 avtoura ,  Легковые автомобили  , 14 700 ,Молдова,  Кишинёв мун.,https://999.md/ru/79881405,продам,land rover,range rover sport,республика молдова,новый,частное лицо,2008,левый,5,внедорожник,5,208 000   км,27   см³,0,дизель,автоматическая,4х4,серый,
 gergimaksim ,  Легковые автомобили  , 6 500 ,Молдова,  Тараклия,https://999.md/ru/81605060,продам,renault,megane,республика молдова,с пробегом,частное лицо,2007,левый,5,универсал,,230 000   км,1 500   см³,,дизель,механическая,передний,серебряный,
 fcgfchggbjgvhgfv ,  Легковые автомобили  , 4 200 ,Молдова,  Калараш,https://999.md/ru/81299875,продам,audi,a6,республика молдова,с пробегом,частное лицо,2000,левый,5,седан,5,350 000   км,2 500   см³,200,дизель,механическая,передний,красный,
 autogermania999 ,  Легковые автомобили  , 21 500 ,Молдова,  Кишинёв мун.,https://999.md/ru/81057118,продам,renault,arkana,республика молдова,с пробегом,частное лицо,2022,левый,5,кроссовер,5,14 800   км,1 598   см³,140,гибрид,автоматическая,передний,черный,
 autogermania999 ,  Легковые автомобили  , 14 250 ,Молдова,  Кишинёв мун.,https://999.md/ru/81250177,продам,renault,megane,республика молдова,с пробегом,частное лицо,2017,левый,5,хетчбэк,5,69 000   км,1 461   см³,110,дизель,автоматическая,передний,белый,
 autogermania999 ,  Легковые автомобили  , 11 499 ,Молдова,  Кишинёв мун.,https://999.md/ru/81057220,продам,ford,focus,республика молдова,с пробегом,частное лицо,2015,левый,5,универсал,5,152 246   км,1 499   см³,120,дизель,автоматическая,передний,черный,
 autogermania999 ,  Легковые автомобили  , 6 499 ,Молдова,  Кишинёв мун.,https://999.md/ru/81341835,продам,ford,focus,республика молдова,с пробегом,частное лицо,2013,левый,5,универсал,5,154 000   км,998   см³,101,бензин,механическая,передний,серый,
 autogermania999 ,  Легковые автомобили  , 10 900 ,Молдова,  Кишинёв мун.,https://999.md/ru/80043606,продам,ford,mondeo,республика молдова,с пробегом,частное лицо,2014,левый,5,универсал,5,164 350   км,1 499   см³,160,бензин,автоматическая,передний,серый,
 AvtoKris ,  Легковые автомобили  , 8 800 ,Молдова,  Бельцы мун.,https://999.md/ru/81605051,продам,audi,a4,республика молдова,с пробегом,частное лицо,2009,левый,5,седан,,250 400   км,2 000   см³,,бензин,автоматическая,4х4,серый,
 zeu11 ,  Легковые автомобили  , 12 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/81418078,продам,bmw,7 series,республика молдова,с пробегом,частное лицо,2007,левый,5,седан,5,300   км,2 995   см³,280,дизель,автоматическая,задний,серый,
 interauto ,  Легковые автомобили  , 24 899 ,Молдова,  Кишинёв мун.,https://999.md/ru/80315132,продам,kia,sportage,республика молдова,новый,автодилер,2022,левый,5,кроссовер,5,8   км,2 000   см³,156,бензин,автоматическая,передний,серый,
 InterPiataAuto ,  Легковые автомобили  , 36 499 ,Молдова,  Кишинёв мун.,https://999.md/ru/78060911,продам,mercedes,gle,республика молдова,с пробегом,автодилер,2015,левый,5,внедорожник,5,119 766   км,2 200   см³,204,дизель,автоматическая,4х4,белый,
 069928185 ,  Легковые автомобили  , 7 900 ,Молдова,  Бельцы мун.,https://999.md/ru/81174653,продам,renault,grand scenic,республика молдова,с пробегом,частное лицо,2012,левый,7,универсал,5,210 000   км,1 500   см³,110,дизель,механическая,передний,серебряный,
 069928185 ,  Легковые автомобили  , 7 900 ,Молдова,  Бельцы мун.,https://999.md/ru/81403951,продам,toyota,verso-s,республика молдова,с пробегом,частное лицо,2013,левый,5,универсал,5,176 000   км,1 400   см³,,дизель,механическая,передний,серебряный,
 nicusantehnica ,  Легковые автомобили  , 6 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/81553459,продам,bmw,5 series,республика молдова,с пробегом,частное лицо,2002,левый,5,универсал,5,276 856   км,3 000   см³,,дизель,автоматическая,задний,черный,
 nicusantehnica ,  Легковые автомобили  , 25 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/81586617,продам,bmw,x5,республика молдова,с пробегом,частное лицо,2015,левый,7,кроссовер,5,186 456   км,3 000   см³,,бензин,автоматическая,передний,черный,
 Iulicika1995 ,  Легковые автомобили  , 12 400 ,Молдова,  Бельцы мун.,https://999.md/ru/81406348,продам,nissan,qashqai,республика молдова,с пробегом,частное лицо,2014,левый,5,кроссовер,5,146 000   км,1 500   см³,110,дизель,механическая,передний,фиолетовый,
 interauto-albisoara27 ,  Легковые автомобили  , 12 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/81002529,продам,mitsubishi,outlander,республика молдова,с пробегом,автодилер,2011,левый,5,кроссовер,5,126 010   км,2 400   см³,168,бензин,автоматическая,4х4,серый,
 SwissMilitary ,  Легковые автомобили  , 30 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/78973009,продам,mercedes,e класс,республика молдова,с пробегом,частное лицо,2016,левый,5,седан,5,169 000   км,1 950   см³,194,дизель,автоматическая,задний,серый,
 myl1kecreed ,  Легковые автомобили  , 4 100 ,Молдова,  Тирасполь мун.,https://999.md/ru/81605038,продам,volkswagen,passat,приднестровье,с пробегом,частное лицо,2005,левый,5,универсал,5,298 560   км,2 000   см³,140,дизель,механическая,передний,голубой,
 vasilos ,  Легковые автомобили  , 19 000 ,Молдова,  Глодяны,https://999.md/ru/81305460,продам,bmw,x5,республика молдова,с пробегом,частное лицо,2008,левый,5,внедорожник,5,250 000   км,3 000   см³,245,дизель,автоматическая,4х4,черный,
 82pvs ,  Легковые автомобили  , 2 800 ,Молдова,  Тараклия,https://999.md/ru/81519704,продам,hyundai,matrix,республика молдова,с пробегом,автодилер,2005,левый,5,минивэн,5,198 000   км,1 800   см³,,бензин,механическая,передний,зелёный,
 fullhouse1 ,  Легковые автомобили  , 18 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/81590939,продам,bmw,x3,республика молдова,с пробегом,частное лицо,2012,левый,5,кроссовер,5,195 000   км,1 995   см³,184,дизель,автоматическая,4х4,серый,
 AVI888 ,  Легковые автомобили  , 30 000 ,Молдова,  Кишинёв мун.,https://999.md/ru/81590518,меняю,genesis,g70,республика молдова,с пробегом,частное лицо,2020,левый,5,седан,4,59 900   км,2 000   см³,254,бензин,автоматическая,4х4,синий,
 ExpressAuto ,  Легковые автомобили  , 18 500 ,Молдова,  Кишинёв мун.,https://999.md/ru/81374411,продам,peugeot,3008,республика молдова,с пробегом,автодилер,2019,левый,5,кроссовер,4,156 000   км,1 500   см³,130,дизель,автоматическая,передний,серый,
 InterautoParc ,  Легковые автомобили  , 12 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/78851909,продам,kia,sportage,республика молдова,с пробегом,автодилер,2013,левый,5,кроссовер,5,157 118   км,1 998   см³,150,бензин,автоматическая,4х4,оранжевый,
 DAAC-Hermes-Balti-2 ,  Легковые автомобили  , 17 130 ,Молдова,  Бельцы мун.,https://999.md/ru/81583503,продам,dacia,duster,республика молдова,новый,автодилер,2023,левый,5,кроссовер,5,0   км,1 500   см³,,дизель,механическая,передний,тёмно-зелёный,
 manopera777 ,  Легковые автомобили  , 12 700 ,Молдова,  Кишинёв мун.,https://999.md/ru/81424176,продам,ford,mondeo,республика молдова,с пробегом,частное лицо,2017,левый,5,фургон,,148 000   км,1 500   см³,120,дизель,механическая,передний,,
 tompson41 ,  Легковые автомобили  , 12 399 ,Молдова,  Кишинёв мун.,https://999.md/ru/80466367,продам,toyota,corolla,другое,с пробегом,частное лицо,2017,левый,5,седан,,127 000   км,1 800   см³,160,бензин,механическая,передний,синий,
 interauto5 ,  Легковые автомобили  , 38 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/76783553,продам,land rover,range rover,республика молдова,с пробегом,автодилер,2013,левый,5,кроссовер,5,156 906   км,3 000   см³,258,дизель,автоматическая,4х4,черный,
 costea-butucel069 ,  Легковые автомобили  , 4 499 ,Молдова,  Кишинёв мун.,https://999.md/ru/81493574,продам,audi,a6,республика молдова,с пробегом,частное лицо,2003,левый,5,седан,,218 000   км,2 500   см³,,дизель,вариатор,передний,синий,
